title,movieId,tag,genres,year,combined
Spider-Man: Into the Spider-Verse (2018),195159,visually_stunning visually_appealing original,action adventure animation sci_fi,2018,visually_stunning visually_appealing original action adventure animation sci_fi
Vox Lux (2018),194975,independent_film,drama,2018,independent_film drama
The Clovehitch Killer (2018),194762,suspenseful horror original suspense,horror thriller,2018,suspenseful horror original suspense horror thriller
Andhadhun (2018),194696,cerebral pornography golden_palm,mystery romance thriller,2018,cerebral pornography golden_palm mystery romance thriller
They Shall Not Grow Old (2018),194664,social_commentary,documentary war,2018,social_commentary documentary war
The Kindergarten Teacher (2018),194638,original,drama,2018,original drama
Green Book (2018),194448,social_commentary mentor great_acting touching heartwarming segregation,comedy drama,2018,social_commentary mentor great_acting touching heartwarming segregation comedy drama
Widows (2018),194400,original,crime drama thriller,2018,original crime drama thriller
Can You Ever Forgive Me? (2018),194348,drama original,comedy crime drama,2018,drama original comedy crime drama
Malevolent (2018),194238,plot_twist suspense fight_scenes murder violence technology predictable pornography original,horror,2018,plot_twist suspense fight_scenes murder violence technology predictable pornography original horror
The Hate U Give (2018),194074,drama mentor,crime drama,2018,drama mentor crime drama
Ralph Breaks the Internet (2018),194016,animation,animation children,2018,animation animation children
Halloween (2018),194004,original,horror,2018,original horror
Wildlife (2018),193960,drama,drama,2018,drama drama
Creed II (2018),193958,original,drama,2018,original drama
The Nutcracker and the Four Realms (2018),193954,family,adventure children fantasy,2018,family adventure children fantasy
The Night Comes For Us (2018),193906,gunfight intense great_movie,action crime thriller,2018,gunfight intense great_movie action crime thriller
Boy Erased (2018),193589,original coming_of_age,drama,2018,original coming_of_age drama
Next Gen (2018),193243,family kids,action adventure animation,2018,family kids action adventure animation
Fahrenheit 11/9 (2018),193185,social_commentary,documentary,2018,social_commentary documentary
One Cut of the Dead (2017),193041,weird original,comedy horror,2017,weird original comedy horror
Border (2018),192997,pornography,fantasy thriller,2018,pornography fantasy thriller
Destination Wedding (2018),192697,original,comedy drama romance,2018,original comedy drama romance
Hold the Dark (2018),192561,original,thriller,2018,original thriller
Thunder Road (2018),192503,storytelling depression,comedy drama,2018,storytelling depression comedy drama
Venom (2018),192389,action,action horror sci_fi thriller,2018,action action horror sci_fi thriller
Beautiful Boy (2018),192383,touching,drama,2018,touching drama
Bad Times at the El Royale (2018),192245,drama,horror thriller,2018,drama horror thriller
Minding the Gap (2018),192109,oscar_(best_directing) relationships criterion,documentary,2018,oscar_(best_directing) relationships criterion documentary
Like Father (2018),192081,girlie_movie,comedy,2018,girlie_movie comedy
If Beale Street Could Talk (2018),192045,drama oscar oscar_(best_directing) pornography original,drama romance,2018,drama oscar oscar_(best_directing) pornography original drama romance
The Old Man and the Gun (2018),191869,original suspense,no_genres_listed,2018,original suspense no_genres_listed
Teen Titans Go! To the Movies (2018),191687,satire,animation children,2018,satire animation children
Searching (2018),190555,original,drama,2018,original drama
Blindspotting (2018),190551,social_commentary original,comedy drama,2018,social_commentary original comedy drama
Slender Man (2018),190287,family original,horror,2018,family original horror
Hannah Gadsby: Nanette (2018),190089,social_commentary,comedy,2018,social_commentary comedy
The Death of Superman,190017,humor vigilante superheroes,action animation drama sci_fi,,humor vigilante superheroes action animation drama sci_fi
Terrifier (2017),189893,gore,horror thriller,2017,gore horror thriller
The Guilty (2018),189885,original suspense,thriller,2018,original suspense thriller
Bao (2018),189873,animation family original,animation,2018,animation family original animation
BlacKkKlansman (2018),189713,social_commentary drama political original,comedy crime drama,2018,social_commentary drama political original comedy crime drama
Mission: Impossible - Fallout (2018),189333,assassin chase franchise action spying espionage,action adventure thriller,2018,assassin chase franchise action spying espionage action adventure thriller
Hotel Artemis (2018),189241,original,sci_fi thriller,2018,original sci_fi thriller
Upgrade (2018),189203,original,action comedy horror sci_fi thriller,2018,original action comedy horror sci_fi thriller
The Tale (2018),189071,drama,drama,2018,drama drama
Sicario: Day of the Soldado (2018),189041,violence,action crime drama thriller,2018,violence action crime drama thriller
The Man Who Killed Don Quixote (2018),188833,storytelling original,adventure comedy fantasy,2018,storytelling original adventure comedy fantasy
Capernaum (2018),188829,social_commentary great_acting touching oscar_(best_actress) heartbreaking,drama,2018,social_commentary great_acting touching oscar_(best_actress) heartbreaking drama
Shoplifters (2018),188773,social_commentary character_study,drama,2018,social_commentary character_study drama
Happy as Lazzaro (2018),188697,original criterion,drama,2018,original criterion drama
Dogman (2018),188675,weird original,crime drama,2018,weird original crime drama
Burning (2018),188623,melancholic,drama mystery,2018,melancholic drama mystery
Uncle Drew (2018),188317,goofy family original,comedy,2018,goofy family original comedy
"Don't Worry, He Won't Get Far on Foot (2018)",188305,drama,comedy drama,2018,drama comedy drama
Ant-Man and the Wasp (2018),188301,marvel action superheroes pg_13,action adventure comedy fantasy sci_fi,2018,marvel action superheroes pg_13 action adventure comedy fantasy sci_fi
Sorry to Bother You (2018),188189,social_commentary weird original,comedy fantasy sci_fi,2018,social_commentary weird original comedy fantasy sci_fi
Solo: A Star Wars Story (2018),187595,visually_appealing space action pg_13 space_opera,action adventure children sci_fi,2018,visually_appealing space action pg_13 space_opera action adventure children sci_fi
Deadpool 2 (2018),187593,absurd action,action comedy sci_fi,2018,absurd action action comedy sci_fi
Leave No Trace (2018),187501,drama,drama,2018,drama drama
American Animals (2018),187231,original,crime drama,2018,original crime drama
Jurassic World: Fallen Kingdom (2018),187031,action franchise,action adventure drama sci_fi thriller,2018,action franchise action adventure drama sci_fi thriller
Andre the Giant (2018),187023,documentary original,documentary,2018,documentary original documentary
Batman Ninja (2018),186985,action pg_13,action animation,2018,action pg_13 action animation
Hearts Beat Loud (2018),186953,drama original,drama,2018,drama original drama
Rampage (2018),186587,action,action adventure sci_fi,2018,action action adventure sci_fi
Book Club (2018),186005,romantic_comedy,comedy romance,2018,romantic_comedy comedy romance
The Rider (2018),185987,drama,drama,2018,drama drama
Ghost Stories (2018),185979,creepy,drama horror,2018,creepy drama horror
Bad Samaritan (2018),185977,original serial_killer,crime drama,2018,original serial_killer crime drama
I Can Only Imagine (2018),185571,girlie_movie,children drama,2018,girlie_movie children drama
Ghostland (2018),185481,pornography original,horror,2018,pornography original horror
Ricky Gervais: Humanity (2018),185443,stand_up_comedy,comedy,2018,stand_up_comedy comedy
The Titan (2018),185425,original,sci_fi,2018,original sci_fi
Prospect (2018),185319,weird sci_fi original,sci_fi western,2018,weird sci_fi original sci_fi western
A Quiet Place (2018),185029,suspenseful original suspense,drama horror thriller,2018,suspenseful original suspense drama horror thriller
"Love, Simon (2018)",184997,teen_movie,comedy drama,2018,teen_movie comedy drama
A Wrinkle in Time (2018),184987,family,adventure children fantasy sci_fi,2018,family adventure children fantasy sci_fi
Death Wish (2018),184931,action,action crime drama thriller,2018,action action crime drama thriller
Sherlock Gnomes (2018),184865,family,animation children comedy fantasy mystery romance,2018,family animation children comedy fantasy mystery romance
Eighth Grade (2018),184399,original coming_of_age,no_genres_listed,2018,original coming_of_age no_genres_listed
Making a Murderer (2015),184257,original,crime documentary,2015,original crime documentary
Braven (2018),184119,original,action,2018,original action
Winchester (2018),184089,supernatural,fantasy horror,2018,supernatural fantasy horror
Unsane (2018),184023,original,drama horror,2018,original drama horror
Batman: Gotham by Gaslight (2018),183915,graphic_novel,action animation sci_fi thriller,2018,graphic_novel action animation sci_fi thriller
A Futile & Stupid Gesture (2018),183909,original,no_genres_listed,2018,original no_genres_listed
Isle of Dogs (2018),183897,original,animation comedy,2018,original animation comedy
Hereditary (2018),183869,original,no_genres_listed,2018,original no_genres_listed
The Favourite,183837,oscar,drama,,oscar drama
Early Man (2018),183833,cartoon,animation children comedy,2018,cartoon animation children comedy
Spielberg (2017),183671,cerebral social_commentary drama great_acting suspense tense biographical excellent_script imdb_top_250 oscar_(best_directing) original,documentary,2017,cerebral social_commentary drama great_acting suspense tense biographical excellent_script imdb_top_250 oscar_(best_directing) original documentary
Fifty Shades Freed (2018),183589,erotic based_on_a_book bdsm,drama romance,2018,erotic based_on_a_book bdsm drama romance
The Polka King (2018),183497,based_on_true_story,comedy,2018,based_on_true_story comedy
Godless (2017),183461,gunfight,crime drama western,2017,gunfight crime drama western
World of Tomorrow Episode Two: The Burden of Other People's Thoughts (2017),183437,weird criterion,animation sci_fi,2017,weird criterion animation sci_fi
AlphaGo (2017),183423,documentary,documentary,2017,documentary documentary
Small Town Crime (2017),183323,pornography fun_movie,crime thriller,2017,pornography fun_movie crime thriller
Dave Chappelle: The Bird Revelation (2017),183227,stand_up_comedy,comedy,2017,stand_up_comedy comedy
Dave Chappelle: Equanimity (2017),183197,stand_up_comedy,comedy,2017,stand_up_comedy comedy
The Insult (2017),182783,complex_characters social_commentary justice foreign storytelling dramatic,drama,2017,complex_characters social_commentary justice foreign storytelling dramatic drama
Cosmos: A Spacetime Odissey,182723,social_commentary original,no_genres_listed,,social_commentary original no_genres_listed
Annihilation (2018),182715,visually_appealing original,adventure mystery sci_fi thriller,2018,visually_appealing original adventure mystery sci_fi thriller
Christmas Inheritance (2017),182679,girlie_movie,romance,2017,girlie_movie romance
The Second Renaissance Part I (2003),182637,social_commentary distopia dystopia powerful_ending visually_stunning visually_appealing dystopic_future storytelling original,animation sci_fi,2003,social_commentary distopia dystopia powerful_ending visually_stunning visually_appealing dystopic_future storytelling original animation sci_fi
Lagaan: Once Upon a Time in India (2001),181751,bollywood london british drama story imdb_top_250 india sports,adventure drama romance,2001,bollywood london british drama story imdb_top_250 india sports adventure drama romance
The Breadwinner (2017),181671,animation family,animation drama war,2017,animation family animation drama war
Olaf's Frozen Adventure (2017),181601,holiday too_short family short christmas,adventure animation children comedy fantasy,2017,holiday too_short family short christmas adventure animation children comedy fantasy
Robot Chicken: Star Wars Episode III (2010),181357,stop_motion star_wars animation suspense original forceful parody spoof,comedy sci_fi,2010,stop_motion star_wars animation suspense original forceful parody spoof comedy sci_fi
Ferdinand (2017),180987,animals animation,animation children comedy,2017,animals animation animation children comedy
A Christmas Prince (2017),180737,holiday romance romantic_comedy christmas,romance,2017,holiday romance romantic_comedy christmas romance
Hot Summer Nights (2017),180367,coming_of_age,drama,2017,coming_of_age drama
The Disaster Artist (2017),180297,original,comedy drama,2017,original comedy drama
Jim & Andy: The Great Beyond (2017),180265,interesting original,documentary,2017,interesting original documentary
The Shining (1997),180263,based_on_a_book based_on_book kubrick adaptation supernatural insanity maze adapted_from:book,drama horror thriller,1997,based_on_a_book based_on_book kubrick adaptation supernatural insanity maze adapted_from:book drama horror thriller
Daddy's Home 2 (2017),180231,holiday sequel comedy christmas,comedy drama,2017,holiday sequel comedy christmas comedy drama
Singularity (2017),180093,future plot_holes bad_acting science_fiction scifi sci_fi futuristic robots,sci_fi,2017,future plot_holes bad_acting science_fiction scifi sci_fi futuristic robots sci_fi
Molly's Game (2017),180045,intense dialogue_driven drama,drama,2017,intense dialogue_driven drama drama
24 Hours to Live (2017),180037,assassin assassination hitman action_packed action car_chase vengeance corruption,thriller,2017,assassin assassination hitman action_packed action car_chase vengeance corruption thriller
The Shape of Water (2017),180031,social_commentary visual fantasy fairy_tale allegory visually_stunning visually_appealing dark_fantasy stylized colourful original,adventure drama fantasy,2017,social_commentary visual fantasy fairy_tale allegory visually_stunning visually_appealing dark_fantasy stylized colourful original adventure drama fantasy
In the Fade (2017),179977,intense german drama germany revenge,drama,2017,intense german drama germany revenge drama
A Bad Moms Christmas (2017),179953,holiday family comedy christmas,comedy,2017,holiday family comedy christmas comedy
The Unknown Soldier (2017),179925,based_on_a_book melancholic war finnish war_movie realistic original,drama war,2017,based_on_a_book melancholic war finnish war_movie realistic original drama war
Downsizing (2017),179881,social_commentary future satirical satire original,comedy drama sci_fi,2017,social_commentary future satirical satire original comedy drama sci_fi
Radius (2017),179863,thriller death original,sci_fi thriller,2017,thriller death original sci_fi thriller
Star Wars: The Last Jedi (2017),179819,space_opera action pg_13,action adventure fantasy sci_fi,2017,space_opera action pg_13 action adventure fantasy sci_fi
Darkest Hour (2017),179817,wwii war history,drama war,2017,wwii war history drama war
"Roman J. Israel, Esq. (2017)",179815,israel,drama thriller,2017,israel drama thriller
Last Flag Flying (2017),179811,unlikely_friendships drama,comedy drama,2017,unlikely_friendships drama comedy drama
A Taxi Driver (2017),179779,intense based_on_true_story based_on_a_true_story assassination violent drama great_acting political corruption dramatic,action drama,2017,intense based_on_true_story based_on_a_true_story assassination violent drama great_acting political corruption dramatic action drama
Creep 2 (2017),179749,sequel serial_killer,comedy horror,2017,sequel serial_killer comedy horror
Wonder Wheel (2017),179709,women,drama,2017,women drama
Mayhem (2017),179491,violence gory violent brutality,action horror,2017,violence gory violent brutality action horror
Patton Oswalt: Annihilation (2017),179417,stand_up_comedy super_hero superhero humor superheroes melancholic honest original,comedy,2017,stand_up_comedy super_hero superhero humor superheroes melancholic honest original comedy
Wheelman (2017),179415,chase foul_language car_chase suspense cars fast_paced,action thriller,2017,chase foul_language car_chase suspense cars fast_paced action thriller
Blade of the Immortal (2017),179411,violent action_packed action suspense samurai vengeance japan tokyo death original,action drama,2017,violent action_packed action suspense samurai vengeance japan tokyo death original action drama
OtherLife (2017),179409,science_fiction scifi sci_fi virtual_reality technology,crime mystery sci_fi,2017,science_fiction scifi sci_fi virtual_reality technology crime mystery sci_fi
Arrhythmia (2017),179345,intense hospital drama great_ending great_acting violent suspense melancholic dramatic depression relationships complex oscar_(best_actress) excellent_script oscar_(best_directing) original heartbreaking life,drama,2017,intense hospital drama great_ending great_acting violent suspense melancholic dramatic depression relationships complex oscar_(best_actress) excellent_script oscar_(best_directing) original heartbreaking life drama
Only the Brave (2017),179331,drama based_on_true_story,drama,2017,drama based_on_true_story drama
Salyut 7 (2017),179301,astronauts space,no_genres_listed,2017,astronauts space no_genres_listed
My Friend Dahmer (2017),179295,teen_movie serial_killer,crime drama horror thriller,2017,teen_movie serial_killer crime drama horror thriller
Breathe (2017),179287,disability,drama,2017,disability drama
Tragedy Girls (2017),179285,splatter police_investigation girlie_movie slasher,comedy horror,2017,splatter police_investigation girlie_movie slasher comedy horror
Revenge (2017),179247,revenge vengeance,action thriller,2017,revenge vengeance action thriller
Brawl in Cell Block 99 (2017),179221,prison gratuitous_violence violent brutal brutality violence,action crime thriller,2017,prison gratuitous_violence violent brutal brutality violence action crime thriller
Rabbit of Seville (1950),179173,masterpiece great_movie short music animation cartoon classical_music opera imdb_top_250 oscar_(best_directing),animation comedy,1950,masterpiece great_movie short music animation cartoon classical_music opera imdb_top_250 oscar_(best_directing) animation comedy
Unicorn Store (2017),179163,artistic whimsical original,comedy drama fantasy,2017,artistic whimsical original comedy drama fantasy
Professor Marston & the Wonder Women (2017),179137,relationships bdsm love,no_genres_listed,2017,relationships bdsm love no_genres_listed
Blue Planet II (2017),179135,storytelling,documentary,2017,storytelling documentary
Loving Vincent (2017),179133,life_&_death visual artistic animation visually_appealing melancholic storytelling art artist,animation crime drama,2017,life_&_death visual artistic animation visually_appealing melancholic storytelling art artist animation crime drama
The Ritual (2017),179085,horror death,horror,2017,horror death horror
Blade Runner: Black Out 2022 (2017),178907,future dystopia sequel violent dark visually_appealing dystopic_future science_fiction anime futuristic violence original,action animation sci_fi,2017,future dystopia sequel violent dark visually_appealing dystopic_future science_fiction anime futuristic violence original action animation sci_fi
Paddington 2 (2017),178827,family,adventure animation children comedy,2017,family adventure animation children comedy
Gerald's Game (2017),178667,weird based_on_a_book horror psychological death adapted_from:book,horror thriller,2017,weird based_on_a_book horror psychological death adapted_from:book horror thriller
Dave Chappelle: Killin' Them Softly (2000),178613,stand_up_comedy hilarious funny comedy imdb_top_250 special oscar_(best_directing) original,comedy,2000,stand_up_comedy hilarious funny comedy imdb_top_250 special oscar_(best_directing) original comedy
1922 (2017),178523,original,crime drama mystery,2017,original crime drama mystery
Cult of Chucky (2017),178447,splatter franchise sequel horror fun_movie slasher stupid_as_hell original,horror thriller,2017,splatter franchise sequel horror fun_movie slasher stupid_as_hell original horror thriller
Lucky (2017),178401,character_study,drama,2017,character_study drama
Gaga: Five Foot Two (2017),178323,music,documentary,2017,music documentary
Zama (2017),178063,surreal surrealism,drama,2017,surreal surrealism drama
"I, Tonya (2017)",178061,original oscar,drama,2017,original oscar drama
Victoria & Abdul (2017),177871,period_piece indians unlikely_friendships drama mentor england biography biographical biopic islam friendship history,drama,2017,period_piece indians unlikely_friendships drama mentor england biography biographical biopic islam friendship history drama
Borg vs McEnroe (2017),177867,history mentor sports,drama,2017,history mentor sports drama
Suburbicon (2017),177771,coen_bros,comedy crime mystery,2017,coen_bros comedy crime mystery
The Killing of a Sacred Deer (2017),177689,cerebral weird surreal psychology enigmatic psychological thriller original,drama horror mystery thriller,2017,cerebral weird surreal psychology enigmatic psychological thriller original drama horror mystery thriller
The Florida Project (2017),177651,amazing_cinematography,drama,2017,amazing_cinematography drama
Lady Bird (2017),177615,original,comedy,2017,original comedy
"Three Billboards Outside Ebbing, Missouri (2017)",177593,social_commentary drama oscar oscar_(best_actress) original,crime drama,2017,social_commentary drama oscar oscar_(best_actress) original crime drama
Little Evil (2017),177287,horror comedy cult,comedy horror,2017,horror comedy cult comedy horror
Marshall (2017),177243,drama biographical,drama,2017,drama biographical drama
Stronger (2017),177239,based_on_a_true_story,drama,2017,based_on_a_true_story drama
Rememory (2017),177101,memory murder_mystery,drama mystery sci_fi,2017,memory murder_mystery drama mystery sci_fi
Dave Made a Maze (2017),176943,weird whimsical family good_soundtrack horror quirky off_beat_comedy cult_film maze original,adventure comedy horror,2017,weird whimsical family good_soundtrack horror quirky off_beat_comedy cult_film maze original adventure comedy horror
Jigsaw (2017),176937,torture death,horror thriller,2017,torture death horror thriller
The Villainess (2017),176921,splatter chase assassin violence assassination ninja mentor action gunfight suspense bloody fight_scenes vengeance fast_paced,action drama,2017,splatter chase assassin violence assassination ninja mentor action gunfight suspense bloody fight_scenes vengeance fast_paced action drama
Beach Rats (2017),176919,original,drama,2017,original drama
Murder on the Orient Express (2010),176887,mystery investigation police_investigation detective murder murder_mystery,crime mystery,2010,mystery investigation police_investigation detective murder murder_mystery crime mystery
6 Days (2017),176829,terrorism,action,2017,terrorism action
Suspiria (2017),176801,weird surreal,horror thriller,2017,weird surreal horror thriller
American Made (2017),176751,based_on_true_story based_on_a_true_story fun_movie drugs latin_america fast_paced,crime thriller,2017,based_on_true_story based_on_a_true_story fun_movie drugs latin_america fast_paced crime thriller
Batman & Harley Quinn (2017),176681,super_hero superhero animation dc_comics superheroes batman parody anti_hero,action animation,2017,super_hero superhero animation dc_comics superheroes batman parody anti_hero action animation
Naked (2017),176599,time_loop,comedy,2017,time_loop comedy
The Endless (2017),176567,horror cult original,horror sci_fi thriller,2017,horror cult original horror sci_fi thriller
The Limehouse Golem (2017),176551,mystery investigation twists_&_turns detective police_investigation murder suspense murder_mystery serial_killer,horror thriller,2017,mystery investigation twists_&_turns detective police_investigation murder suspense murder_mystery serial_killer horror thriller
The Layover (2017),176521,original,comedy,2017,original comedy
Icarus (2017),176423,world_politics conspiracy russia documentary olympics sports,documentary,2017,world_politics conspiracy russia documentary olympics sports documentary
Mother! (2017),176419,weird original,drama horror mystery thriller,2017,weird original drama horror mystery thriller
Blade Runner 2049 (2017),176371,social_commentary future visually_appealing oscar_(best_effects___visual_effects) original,sci_fi,2017,social_commentary future visually_appealing oscar_(best_effects___visual_effects) original sci_fi
Bad Genius (2017),176349,cheating suspenseful mentor,thriller,2017,cheating suspenseful mentor thriller
Cadet Kelly (2002),176219,girlie_movie teen_movie,comedy,2002,girlie_movie teen_movie comedy
In a Heartbeat (2017),176211,short animation love_story cute gay love,animation romance,2017,short animation love_story cute gay love animation romance
The LEGO Ninjago Movie (2017),176103,family visually_appealing,action animation comedy,2017,family visually_appealing action animation comedy
Twelve Angry Men (1954),175981,claustrophobic drama great_acting original forceful dramatic,drama,1954,claustrophobic drama great_acting original forceful dramatic drama
Force Majeure (2014),175813,drama swedish,comedy drama,2014,drama swedish comedy drama
Jungle (2017),175809,original,action adventure drama,2017,original action adventure drama
Descendants 2 (2017),175795,hip_hop franchise fairy_tale sequel magic musical disney teen_movie fantasy,action adventure children comedy,2017,hip_hop franchise fairy_tale sequel magic musical disney teen_movie fantasy action adventure children comedy
Rick and Morty: State of Georgia Vs. Denver Fenton Allen (2016),175693,original,comedy crime,2016,original comedy crime
The Life and Death of John Gotti (2017),175673,silly_fun gangsters,crime drama,2017,silly_fun gangsters crime drama
Tulip Fever (2017),175669,adapted_from:book,drama romance,2017,adapted_from:book drama romance
Columbus (2017),175667,indie small_town meditative drama relationships intimate,drama,2017,indie small_town meditative drama relationships intimate drama
The Hitman's Bodyguard (2017),175661,assassin chase hitman action action_packed comedy entertaining fast_paced hit_men good_action,action comedy,2017,assassin chase hitman action action_packed comedy entertaining fast_paced hit_men good_action action comedy
Detroit (2017),175659,race_issues based_on_a_true_story oscar_(best_supporting_actor) brutality historical segregation death history,crime drama thriller,2017,race_issues based_on_a_true_story oscar_(best_supporting_actor) brutality historical segregation death history crime drama thriller
Girls Trip (2017),175655,comedy women,comedy,2017,comedy women comedy
Wish Upon (2017),175649,teenager high_school teens demons horror bullying supernatural teen death teen_movie,fantasy horror thriller,2017,teenager high_school teens demons horror bullying supernatural teen death teen_movie fantasy horror thriller
Shot Caller (2017),175585,gangs powerful_ending violence gangsters gangster good_soundtrack drama brutal great_acting great_ending brutality prison crime,action crime drama thriller,2017,gangs powerful_ending violence gangsters gangster good_soundtrack drama brutal great_acting great_ending brutality prison crime action crime drama thriller
Wind River (2017),175569,mystery police_investigation violence crime small_town drama murder storytelling thriller suspenseful good_acting investigation great_acting suspense scenic intense rape native_americans tense brutality murder_mystery vengeance cinematography,action crime mystery thriller,2017,mystery police_investigation violence crime small_town drama murder storytelling thriller suspenseful good_acting investigation great_acting suspense scenic intense rape native_americans tense brutality murder_mystery vengeance cinematography action crime mystery thriller
Death Note (2017),175485,remake death original,horror thriller,2017,remake death original horror thriller
The Emoji Movie (2017),175475,horrible animation predictable product_placement,animation children comedy,2017,horrible animation predictable product_placement animation children comedy
"In the blue sea, in the white foam. (1984)",175397,animation,animation children fantasy,1984,animation animation children fantasy
On the Trail of the Bremen Town Musicians (1973),175387,animation russian cartoon musical,adventure animation children,1973,animation russian cartoon musical adventure animation children
It (2017),175303,original,horror,2017,original horror
Tour De Pharmacy (2017),175281,mockumentary,comedy,2017,mockumentary comedy
Annabelle: Creation (2017),175199,horror demons creepy haunted_house supernatural prequel scary,horror,2017,horror demons creepy haunted_house supernatural prequel scary horror
What the Health (2017),175165,social_commentary animals family factual graphic_design environment documentary cancer,documentary,2017,social_commentary animals family factual graphic_design environment documentary cancer documentary
